source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
2,1,detail,,"30,231",,,gru,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
3,1,detail_continuation,PeriUrbana,"32,082",,,gru,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"PeriUrbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
4,2,detail,Centro,"6,161",,156,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Centro, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
5,3,detail,Nuceo Urbano Ampliado,"2,631",,712,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Nuceo Urbano Ampliado, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
6,4,detail,Zona Periurbana,"33,340",,1,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Zona Periurbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
7,5,detail,Centro,"1,291",,117,gru+parc,2,0100010190010000--117--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,36625,0100010190010000--117--,0100010190010000--117--,matches_source_ncp,19,1,0,117,-58.24108433,-32.29630421,-58.24108433,-32.29630421,automatic,,,yes,yes,no,"Centro, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
8,6,detail,Urbana,"9,646",,508,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Urbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
9,7,detail,Zona Periurbana,"31,777",,6,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Zona Periurbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
10,7,detail_continuation,,"31,805",,,gru,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
11,8,detail,Centro,713,,76,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Centro, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
12,9,detail,URBANA,"33,700",,5,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"URBANA, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
13,10,detail,Urbana,"6,143",,167,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Urbana, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
14,11,detail,Residencial Norte,"10,028",,154,gru+parc,2,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Residencial Norte, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
