source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
3,2,detail,Bvrad. Fresno s/Nº e/Crespín y calle pública,247,3,7,gru+manz+parc,3,0100010112470003--007--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37054,0100010112470003--007--,0100010112470003--007--,matches_source_ncp,11,247,3,7,-58.18290728,-32.24509364,-58.18290728,-32.24509364,automatic,,,yes,yes,no,"Bvrad. Fresno º esq Crespín y calle pública, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
4,3,detail,Las Piedras N.º 390,40,364,20,gru+manz+parc,3,0100011020400364--020--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35395,0100011020400364--020--,0100011020400364--020--,matches_source_ncp,102,40,364,20,-58.14762187,-32.23684559,-58.14762187,-32.23684559,automatic,,,yes,yes,yes,"Piedras 390, Colón",matched_ign,"LAS PIEDRAS SUR 390, Colón, Entre Ríos",-58.14765682,-32.23699288,16.70,16.70,verified_close,verified_close
5,4,detail,Alberdi N.º,327,4,3,gru+manz+parc,3,0100010123270004--003--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36587,0100010123270004--003--,0100010123270004--003--,matches_source_ncp,12,327,4,3,-58.16254939,-32.23088725,-58.16254939,-32.23088725,automatic,,,yes,yes,no,"Alberdi N.º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
6,5,detail,Juan Manuel de Rosas s/N° (Loteo Blanc),355,8,4,gru+manz+parc,3,0100010063550008--004--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33076,0100010063550008--004--,0100010063550008--004--,matches_source_ncp,6,355,8,4,-58.16082882,-32.21019172,-58.16082882,-32.21019172,automatic,,,yes,yes,no,"Juan Manuel de Rosas ° Loteo Blanc, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
7,7,detail,M. Rebord N.º 132 e/M. Moreno y Noailles,,397,10,manz+parc,2,0100010000000397--010--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,25643,0100010000000397--010--,0100010000000397--010--,matches_source_ncp,0,0,397,10,-58.15035197,-32.23239630,-58.15035197,-32.23239630,automatic,,,yes,yes,yes,"Rebord 132, Colón",matched_ign,"M REBORD 132, Colón, Entre Ríos",-58.15049779,-32.23267056,33.44,33.44,verified_close,verified_close
8,6,detail,"Ruta Nac. Nª 14, km",1,,2,gru+parc,2,,ambiguous_source_components,gru_parc,6,low,ambiguous_match_by_gru_parc,24687,0100010190010000--002--,0100010190010000--002--,matches_source_ncp,19,1,0,2,-58.24421972,-32.27327744,-58.24421972,-32.27327744,automatic,,,yes,yes,no,"Ruta Nac. 14, km, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
10,9,detail,Esteva Berga N.º 137,,141,5,manz+parc,2,0100010000000141--005--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28751,0100010000000141--005--,0100010000000141--005--,matches_source_ncp,0,0,141,5,-58.13748002,-32.22331982,-58.13748002,-32.22331982,automatic,,,yes,yes,yes,"Berga 137, Colón",matched_ign,"DR E BERGA 137, Colón, Entre Ríos",-58.13726543,-32.22325665,21.37,21.37,verified_close,verified_close
11,10,detail,"Primera Junta N.º 508, 510",,580,19,manz+parc,2,0100010000000580--019--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,32473,0100010000000580--019--,0100010000000580--019--,matches_source_ncp,0,0,580,19,-58.15184960,-32.21828728,-58.15184960,-32.21828728,automatic,,,yes,yes,yes,"Junta 508, Colón",matched_ign,"PRIMERA JUNTA 508, Colón, Entre Ríos",-58.15192144,-32.21788747,44.97,44.97,verified_close,verified_close
12,11,detail,Alberdi N.º 230 y 236,,176,15,manz+parc,2,0100010000000176--015--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30905,0100010000000176--015--,0100010000000176--015--,matches_source_ncp,0,0,176,15,-58.14101640,-32.21730425,-58.14101640,-32.21730425,automatic,,,yes,yes,yes,"Alberdi 230, Colón",matched_ign,"ALBERDI 230, Colón, Entre Ríos",-58.14118420,-32.21721449,18.68,18.68,verified_close,verified_close
13,12,detail,Martín Reibel N.º 621,,60,7,manz+parc,2,0100010000000060--007--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,27431,0100010000000060--007--,0100010000000060--007--,matches_source_ncp,0,0,60,7,-58.14150732,-32.22752755,-58.14150732,-32.22752755,automatic,,,yes,yes,yes,"Reibel 621, Colón",matched_ign,"MARTIN REIBEL 621, Colón, Entre Ríos",-58.14129670,-32.22772588,29.65,29.65,verified_close,verified_close
