source_row_number,severity,issue_type,column_name,column_index,value,message
2,warning,invalid_ar_date,VISADO,44,"relevamiento de ampliaciones realizadas en el hotel,BAJO ORD 27/10, art, punto 2, inc 1, 2 y 3, Infraccion Ord 130/22, art 21, Anexo V, Zona periurbana, Infraccion art 5, 27, 37, 144, 151, 178, 179, 181, 182, 201, 202, 223, 232, 233 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
4,warning,invalid_ar_date,VISADO,44,"plano conforme de edificio de deptos pasado por aprte al visado, BAJO ORD 27/10, art 1, punto 1, inc 2 y 3, Infraccion art 10, 27, 37, 176, 179, 164 del CE, Ord 56/07, art 2, inc 2m art 3, inc 1, sub inc a, Ord 53/07, Ord 62/13, art 19, Ord 95/14, art 16",Fecha de visado invalida para formato AR (dd/mm/aaaa).
5,warning,invalid_ar_date,VISADO,44,"relevamiento de dos unidades de vivienda, una de tres dormitorios, baño, cocina comedor, estar, cocheras semicubeirta para dos vehiculos, la otra dos dormitorios, cocina comedor, BAJO ORD 27/10, art 1, punto m2, inc 2 y 3, Infraccion Ord 130/22, art 20, Anexo V, Zona Urbana, Infraccion art 5, 27, 37, 144, 151, 176, 178, 179, 182, 202, 223, 233 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
6,warning,invalid_ar_date,VISADO,44,"relevamiento de vivienda (de casero) y de ampliaciones ejecutadas en vivienda unifamiliaren PA dormitorio, baño completo, atelier, vestidor, en Pbhall de ingreso, cocina desayunador estar, lavadero, despensa, dormitorio, oficina, baño, cochera lateral semicubierta con parrilla y bacha, en el fondo casa casero de un dormitoio en PA, baño, cocina comedor estar en PB, galeria semicubierta, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion 5, 27, 37, 176, 178 del CE, Infraccion ORd 130/22, art 21, anexo V",Fecha de visado invalida para formato AR (dd/mm/aaaa).
7,warning,invalid_ar_date,VISADO,44,"relevamiento local comercial resto bar, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 144, 151, 176, 179, 198, 230 del CE, Infraccion Ord 62/21",Fecha de visado invalida para formato AR (dd/mm/aaaa).
8,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, tres dormitorios, cocina comedor estar, baño, cochera semicubierta al frente",Fecha de visado invalida para formato AR (dd/mm/aaaa).
9,warning,invalid_ar_date,VISADO,44,"relevamiento de tres unidades de vivienda, una en PA monoambiente, en PB una de un dormitorio, baño, cocina, comedor estar, pileta, cochera descubierta, otra de tres dormitorios en PB y uno en suite en PA con vestidor baño y gimnasio, abajo Hall, living comedor, cocina, quincho, baño, oficina, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 144, 179, 223, 233 del CE, Ord 130/22, art 21, Anexo V, Zona Periurbana",Fecha de visado invalida para formato AR (dd/mm/aaaa).
11,warning,invalid_ar_date,VISADO,44,"a demoler construccion vivienda al fondo del lote 94,30 m2, local comercial al frente en PB y dos viviendas",Fecha de visado invalida para formato AR (dd/mm/aaaa).
12,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar construida y a terminar, tres dormitorios, baño, cocina comedor estar, cochera semicubierta en el lateral, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 144, 151 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
13,warning,invalid_ar_date,VISADO,44,"relevamiento de deptos construidos en el fondo del lote, tres unidades, dos de un dormitorio en PA cocina comedor y baño en PB y otro de dos dormitorios en PA, cocina comedor y baño en PB, una cochera cubierta, al frente existentesdos unidades de dos dormitorios baño, cocina comedor y lavadero, piscina, BAJO ORD 27/10, art 1, punto 2, inc 2, Infraccion Ord 56/07, art 3, II, 1, Ord 53/07, Infraccion art 5, 27, 37, 144, 151, 179, 226 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
14,warning,invalid_ar_date,VISADO,44,"vivienda univfamiliar a construir, tres dormitorios y un baño en PA mas balcon, en PB cocina comedor estar, acceso semicubierto, cochera semicubierta",Fecha de visado invalida para formato AR (dd/mm/aaaa).
15,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, dos dormitorios, uno con vestidor y baño, baño completo, lavadero, cocina comedor desayunador estar, aceso semicubierto, cochera semicubierta galeria posterior",Fecha de visado invalida para formato AR (dd/mm/aaaa).
16,warning,invalid_ar_date,VISADO,44,"local comercial a construir, bajo Resolucion HCD 34/2022, excepcion, Locales comerciales existentes, infraccion ochava y techo en la vereda, Bajo Ord 27/10, art 1, punto 2, inc 2, Infraccion art 5, 27, 37, 130, 179, 202, 223, 233 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
17,warning,invalid_ar_date,VISADO,44,"plano conforme de edificio de deptos pasado por aprt al visado, BAJO ORD 27/10, art 1, punto 1, inc 2 y 3 , Infraccion art 10, 27, 37,  179, 181, 182 del CE, Ord 56/07, art 2, inc 4, art 3, inc 1, inc 2, sub inc 1, Ord 53/07, Ord 62/13, art 19, Ord 95/14, art 16",Fecha de visado invalida para formato AR (dd/mm/aaaa).
18,warning,invalid_ar_date,INGRESO,3,1801/23,Fecha de ingreso invalida para formato AR (dd/mm/aaaa).
18,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, dos dormitorios uno con vestidor, comedor, cocina comedor desayunador, estar, baño compartimentado, despensa, lavadero, cochera semicubierta, al fondo, pequeño taller de uso domestico y semicubierto lateral",Fecha de visado invalida para formato AR (dd/mm/aaaa).
19,warning,invalid_ar_date,VISADO,44,"Bajo Ord 27/10, art 1, puinto 2, inc 2 y 3, Infraccion art 5, 27, 37, 129, 176, 178, 179, 181, 182, 194, 201, 202, 207, 223, 230, 233, 235, 246, 247, 268 del CE, Infraccion Ord 130/22, art 20 Anexo V, Zona Urbana",Fecha de visado invalida para formato AR (dd/mm/aaaa).
20,warning,invalid_ar_date,VISADO,44,"vivienda a construir, en PB cocina desayunador comedor estar, baño, dormitorio, galeria semicubierta con parrilla y bacha, cochera semicubierta, en PA tres dormitorios uno con vestidor, baño, terraza",Fecha de visado invalida para formato AR (dd/mm/aaaa).
21,warning,invalid_ar_date,VISADO,44,"tres deptos a consrtuir, de dos dormitorios y baño en PA, en PB cocina, estar, toilete bajo escalera, cochera descubierta al frente",Fecha de visado invalida para formato AR (dd/mm/aaaa).
22,warning,invalid_ar_date,VISADO,44,"vivienda unifamiliar a construir, un dormitorio, cocinqa comedor estar, baño, cochera descubierta, lavadero, PRO.CRE.AR:, BAJO ORD 27/10, art 1, inc 9, Infraccion art 5, 27, 37 del CE",Fecha de visado invalida para formato AR (dd/mm/aaaa).
23,warning,invalid_ar_date,VISADO,44,oficinas y depósitos archivos a construir para dependencias de la estacion de servicio,Fecha de visado invalida para formato AR (dd/mm/aaaa).
